Node_No,X,Y,Z,Total Deformation
1,0.0007,0.0034,0.0350,0.0352
2,-0.0003,0.0035,0.0350,0.0352
3,-0.0013,0.0033,0.0350,0.0352
4,-0.0021,0.0028,0.0350,0.0352
5,-0.0028,0.0021,0.0350,0.0352
6,-0.0033,0.0012,0.0350,0.0352
7,-0.0035,0.0002,0.0350,0.0352
8,-0.0034,-0.0008,0.0350,0.0352
9,-0.0031,-0.0017,0.0350,0.0352
10,-0.0024,-0.0025,0.0350,0.0352
11,-0.0016,-0.0031,0.0350,0.0352
12,-0.0007,-0.0034,0.0350,0.0352
13,0.0003,-0.0035,0.0350,0.0352
14,0.0013,-0.0033,0.0350,0.0352
15,0.0021,-0.0028,0.0350,0.0352
16,0.0028,-0.0021,0.0350,0.0352
17,0.0033,-0.0012,0.0350,0.0352
18,0.0035,-0.0002,0.0350,0.0352
19,0.0034,0.0008,0.0350,0.0352
20,0.0031,0.0017,0.0350,0.0352
21,0.0024,0.0025,0.0350,0.0352
22,0.0016,0.0031,0.0350,0.0352
23,0.0007,0.0034,0.0490,0.0491
24,0.0007,0.0034,0.0400,0.0402
25,0.0007,0.0034,0.0480,0.0481
26,0.0007,0.0034,0.0470,0.0471
27,0.0007,0.0034,0.0460,0.0461
28,0.0007,0.0034,0.0450,0.0451
29,0.0007,0.0034,0.0440,0.0441
30,0.0007,0.0034,0.0430,0.0431
31,0.0007,0.0034,0.0420,0.0421
32,0.0007,0.0034,0.0410,0.0411
33,-0.0007,0.0034,0.0490,0.0491
34,0.0016,0.0031,0.0490,0.0491
35,0.0024,0.0025,0.0490,0.0491
36,0.0030,0.0018,0.0490,0.0491
37,0.0034,0.0009,0.0490,0.0491
38,0.0035,-0.0001,0.0490,0.0491
39,0.0033,-0.0011,0.0490,0.0491
40,0.0029,-0.0020,0.0490,0.0491
41,0.0022,-0.0027,0.0490,0.0491
42,0.0014,-0.0032,0.0490,0.0491
43,0.0005,-0.0035,0.0490,0.0491
44,-0.0005,-0.0035,0.0490,0.0491
45,-0.0015,-0.0032,0.0490,0.0491
46,-0.0023,-0.0027,0.0490,0.0491
47,-0.0029,-0.0019,0.0490,0.0491
48,-0.0033,-0.0010,0.0490,0.0491
49,-0.0035,-0.0001,0.0490,0.0491
50,-0.0034,0.0009,0.0490,0.0491
51,-0.0030,0.0018,0.0490,0.0491
52,-0.0024,0.0026,0.0490,0.0491
53,-0.0016,0.0031,0.0490,0.0491
54,-0.0007,0.0034,0.0400,0.0402
55,-0.0007,0.0034,0.0410,0.0411
56,-0.0007,0.0034,0.0420,0.0421
57,-0.0007,0.0034,0.0430,0.0431
58,-0.0007,0.0034,0.0440,0.0441
59,-0.0007,0.0034,0.0450,0.0451
60,-0.0007,0.0034,0.0460,0.0461
61,-0.0007,0.0034,0.0470,0.0471
62,-0.0007,0.0034,0.0480,0.0481
63,0.0000,0.0035,0.0400,0.0402
64,-0.0007,0.0020,0.0500,0.0500
65,-0.0007,0.0024,0.0500,0.0501
66,0.0007,0.0024,0.0500,0.0501
67,-0.0015,0.0020,0.0500,0.0501
68,-0.0021,0.0013,0.0500,0.0501
69,-0.0025,0.0004,0.0500,0.0501
70,-0.0024,-0.0006,0.0500,0.0501
71,-0.0021,-0.0014,0.0500,0.0501
72,-0.0014,-0.0021,0.0500,0.0501
73,-0.0005,-0.0025,0.0500,0.0501
74,0.0005,-0.0025,0.0500,0.0501
75,0.0013,-0.0021,0.0500,0.0501
76,0.0020,-0.0015,0.0500,0.0501
77,0.0024,-0.0006,0.0500,0.0501
78,0.0025,0.0004,0.0500,0.0501
79,0.0022,0.0013,0.0500,0.0501
80,0.0016,0.0020,0.0500,0.0501
81,0.0007,0.0020,0.0500,0.0500
82,0.0000,0.0020,0.0500,0.0500
83,0.0120,0.0208,-0.0060,0.0247
84,0.0270,0.0121,-0.0060,0.0302
85,0.0128,0.0203,-0.0060,0.0248
86,0.0137,0.0198,-0.0060,0.0248
87,0.0145,0.0193,-0.0060,0.0249
88,0.0153,0.0189,-0.0060,0.0250
89,0.0162,0.0184,-0.0060,0.0252
90,0.0170,0.0179,-0.0060,0.0254
91,0.0178,0.0174,-0.0060,0.0256
92,0.0187,0.0169,-0.0060,0.0259
93,0.0195,0.0165,-0.0060,0.0262
94,0.0203,0.0160,-0.0060,0.0265
95,0.0212,0.0155,-0.0060,0.0269
96,0.0220,0.0150,-0.0060,0.0273
97,0.0228,0.0145,-0.0060,0.0277
98,0.0237,0.0141,-0.0060,0.0282
99,0.0245,0.0136,-0.0060,0.0286
100,0.0253,0.0131,-0.0060,0.0291
101,0.0262,0.0126,-0.0060,0.0297
102,0.0270,-0.0121,-0.0060,0.0302
103,0.0278,0.0116,-0.0060,0.0307
104,0.0286,0.0110,-0.0060,0.0313
105,0.0294,0.0104,-0.0060,0.0317
106,0.0301,0.0097,-0.0060,0.0322
107,0.0307,0.0090,-0.0060,0.0326
108,0.0313,0.0082,-0.0060,0.0329
109,0.0319,0.0074,-0.0060,0.0333
110,0.0324,0.0066,-0.0060,0.0336
111,0.0328,0.0057,-0.0060,0.0338
112,0.0332,0.0048,-0.0060,0.0340
113,0.0335,0.0039,-0.0060,0.0342
114,0.0337,0.0029,-0.0060,0.0343
115,0.0339,0.0020,-0.0060,0.0344
116,0.0340,0.0010,-0.0060,0.0345
117,0.0340,0.0000,-0.0060,0.0345
118,0.0339,-0.0020,-0.0060,0.0344
119,0.0337,-0.0029,-0.0060,0.0343
120,0.0335,-0.0039,-0.0060,0.0342
121,0.0332,-0.0048,-0.0060,0.0340
122,0.0328,-0.0057,-0.0060,0.0338
123,0.0324,-0.0066,-0.0060,0.0336
124,0.0319,-0.0074,-0.0060,0.0333
125,0.0313,-0.0082,-0.0060,0.0329
126,0.0307,-0.0090,-0.0060,0.0326
127,0.0301,-0.0097,-0.0060,0.0322
128,0.0294,-0.0104,-0.0060,0.0317
129,0.0286,-0.0110,-0.0060,0.0313
130,0.0278,-0.0116,-0.0060,0.0307
131,0.0120,-0.0208,-0.0060,0.0247
132,0.0262,-0.0126,-0.0060,0.0297
133,0.0253,-0.0131,-0.0060,0.0291
134,0.0245,-0.0136,-0.0060,0.0286
135,0.0237,-0.0141,-0.0060,0.0282
136,0.0228,-0.0145,-0.0060,0.0277
137,0.0220,-0.0150,-0.0060,0.0273
138,0.0212,-0.0155,-0.0060,0.0269
139,0.0203,-0.0160,-0.0060,0.0265
140,0.0195,-0.0165,-0.0060,0.0262
141,0.0187,-0.0169,-0.0060,0.0259
142,0.0178,-0.0174,-0.0060,0.0256
143,0.0170,-0.0179,-0.0060,0.0254
144,0.0162,-0.0184,-0.0060,0.0252
145,0.0153,-0.0189,-0.0060,0.0250
146,0.0145,-0.0193,-0.0060,0.0249
147,0.0137,-0.0198,-0.0060,0.0248
148,0.0128,-0.0203,-0.0060,0.0248
149,0.0111,-0.0213,-0.0060,0.0247
150,0.0102,-0.0217,-0.0060,0.0247
151,0.0093,-0.0221,-0.0060,0.0247
152,0.0084,-0.0225,-0.0060,0.0247
153,0.0075,-0.0228,-0.0060,0.0247
154,0.0065,-0.0231,-0.0060,0.0247
155,0.0056,-0.0234,-0.0060,0.0247
156,0.0046,-0.0236,-0.0060,0.0247
157,0.0036,-0.0237,-0.0060,0.0247
158,0.0020,-0.0239,-0.0060,0.0247
159,0.0008,-0.0240,-0.0060,0.0247
160,-0.0004,-0.0240,-0.0060,0.0247
161,-0.0013,-0.0240,-0.0060,0.0247
162,-0.0024,-0.0239,-0.0060,0.0247
163,-0.0034,-0.0238,-0.0060,0.0247
164,-0.0043,-0.0236,-0.0060,0.0247
165,-0.0053,-0.0234,-0.0060,0.0247
166,-0.0063,-0.0232,-0.0060,0.0247
167,-0.0072,-0.0229,-0.0060,0.0247
168,-0.0082,-0.0226,-0.0060,0.0247
169,-0.0091,-0.0222,-0.0060,0.0247
170,-0.0100,-0.0218,-0.0060,0.0247
171,-0.0109,-0.0214,-0.0060,0.0247
172,-0.0118,-0.0209,-0.0060,0.0247
173,-0.0126,-0.0204,-0.0060,0.0247
174,-0.0135,-0.0199,-0.0060,0.0247
175,-0.0143,-0.0193,-0.0060,0.0247
176,-0.0151,-0.0187,-0.0060,0.0247
177,-0.0158,-0.0180,-0.0060,0.0247
178,-0.0166,-0.0174,-0.0060,0.0247
179,-0.0173,-0.0167,-0.0060,0.0247
180,-0.0180,-0.0159,-0.0060,0.0247
181,-0.0186,-0.0152,-0.0060,0.0247
182,-0.0193,-0.0143,-0.0060,0.0247
183,-0.0198,-0.0136,-0.0060,0.0247
184,-0.0203,-0.0128,-0.0060,0.0247
185,-0.0209,-0.0119,-0.0060,0.0247
186,-0.0213,-0.0110,-0.0060,0.0247
187,-0.0218,-0.0101,-0.0060,0.0247
188,-0.0222,-0.0092,-0.0060,0.0247
189,-0.0225,-0.0083,-0.0060,0.0247
190,-0.0229,-0.0074,-0.0060,0.0247
191,-0.0231,-0.0064,-0.0060,0.0247
192,-0.0234,-0.0054,-0.0060,0.0247
193,-0.0236,-0.0045,-0.0060,0.0247
194,-0.0238,-0.0035,-0.0060,0.0247
195,-0.0239,-0.0025,-0.0060,0.0247
196,-0.0240,-0.0015,-0.0060,0.0247
197,-0.0240,0.0003,-0.0060,0.0247
198,-0.0240,0.0014,-0.0060,0.0247
199,-0.0239,0.0025,-0.0060,0.0247
200,-0.0238,0.0035,-0.0060,0.0247
201,-0.0236,0.0045,-0.0060,0.0247
202,-0.0234,0.0054,-0.0060,0.0247
203,-0.0231,0.0064,-0.0060,0.0247
204,-0.0229,0.0074,-0.0060,0.0247
205,-0.0225,0.0083,-0.0060,0.0247
206,-0.0222,0.0092,-0.0060,0.0247
207,-0.0218,0.0102,-0.0060,0.0247
208,-0.0213,0.0110,-0.0060,0.0247
209,-0.0209,0.0119,-0.0060,0.0247
210,-0.0203,0.0128,-0.0060,0.0247
211,-0.0198,0.0136,-0.0060,0.0247
212,-0.0192,0.0144,-0.0060,0.0247
213,-0.0186,0.0152,-0.0060,0.0247
214,-0.0180,0.0159,-0.0060,0.0247
215,-0.0173,0.0167,-0.0060,0.0247
216,-0.0166,0.0174,-0.0060,0.0247
217,-0.0158,0.0180,-0.0060,0.0247
218,-0.0151,0.0187,-0.0060,0.0247
219,-0.0143,0.0193,-0.0060,0.0247
220,-0.0135,0.0199,-0.0060,0.0247
221,-0.0126,0.0204,-0.0060,0.0247
222,-0.0118,0.0209,-0.0060,0.0247
223,-0.0109,0.0214,-0.0060,0.0247
224,-0.0100,0.0218,-0.0060,0.0247
225,-0.0091,0.0222,-0.0060,0.0247
226,-0.0082,0.0226,-0.0060,0.0247
227,-0.0072,0.0229,-0.0060,0.0247
228,-0.0063,0.0232,-0.0060,0.0247
229,-0.0053,0.0234,-0.0060,0.0247
230,-0.0043,0.0236,-0.0060,0.0247
231,-0.0034,0.0238,-0.0060,0.0247
232,-0.0024,0.0239,-0.0060,0.0247
233,-0.0014,0.0240,-0.0060,0.0247
234,-0.0004,0.0240,-0.0060,0.0247
235,0.0006,0.0240,-0.0060,0.0247
236,0.0016,0.0240,-0.0060,0.0247
237,0.0026,0.0239,-0.0060,0.0247
238,0.0036,0.0237,-0.0060,0.0247
239,0.0046,0.0236,-0.0060,0.0247
240,0.0056,0.0234,-0.0060,0.0247
241,0.0065,0.0231,-0.0060,0.0247
242,0.0075,0.0228,-0.0060,0.0247
243,0.0084,0.0225,-0.0060,0.0247
244,0.0093,0.0221,-0.0060,0.0247
245,0.0102,0.0217,-0.0060,0.0247
246,0.0113,0.0212,-0.0060,0.0247
247,0.0180,0.0000,-0.0060,0.0190
248,0.0181,-0.0010,-0.0060,0.0191
249,0.0183,-0.0020,-0.0060,0.0193
250,0.0186,-0.0029,-0.0060,0.0198
251,0.0191,-0.0038,-0.0060,0.0204
252,0.0197,-0.0046,-0.0060,0.0211
253,0.0204,-0.0053,-0.0060,0.0219
254,0.0212,-0.0059,-0.0060,0.0228
255,0.0221,-0.0064,-0.0060,0.0238
256,0.0230,-0.0067,-0.0060,0.0247
257,0.0240,-0.0069,-0.0060,0.0257
258,0.0250,-0.0070,-0.0060,0.0266
259,0.0260,-0.0069,-0.0060,0.0276
260,0.0270,-0.0067,-0.0060,0.0284
261,0.0279,-0.0064,-0.0060,0.0292
262,0.0288,-0.0059,-0.0060,0.0300
263,0.0296,-0.0053,-0.0060,0.0306
264,0.0303,-0.0046,-0.0060,0.0312
265,0.0309,-0.0038,-0.0060,0.0317
266,0.0314,-0.0029,-0.0060,0.0321
267,0.0317,-0.0020,-0.0060,0.0323
268,0.0319,-0.0010,-0.0060,0.0325
269,0.0320,0.0000,-0.0060,0.0326
270,0.0319,0.0010,-0.0060,0.0325
271,0.0317,0.0020,-0.0060,0.0323
272,0.0314,0.0029,-0.0060,0.0321
273,0.0309,0.0038,-0.0060,0.0317
274,0.0303,0.0046,-0.0060,0.0312
275,0.0296,0.0053,-0.0060,0.0306
276,0.0288,0.0059,-0.0060,0.0300
277,0.0279,0.0064,-0.0060,0.0292
278,0.0270,0.0067,-0.0060,0.0284
279,0.0260,0.0069,-0.0060,0.0276
280,0.0250,0.0070,-0.0060,0.0266
281,0.0240,0.0069,-0.0060,0.0257
282,0.0230,0.0067,-0.0060,0.0247
283,0.0221,0.0064,-0.0060,0.0238
284,0.0212,0.0059,-0.0060,0.0228
285,0.0204,0.0053,-0.0060,0.0219
286,0.0197,0.0046,-0.0060,0.0211
287,0.0191,0.0038,-0.0060,0.0204
288,0.0186,0.0029,-0.0060,0.0198
289,0.0183,0.0020,-0.0060,0.0193
290,0.0181,0.0010,-0.0060,0.0191
291,0.0075,0.0000,0.0020,0.0078
292,0.0074,0.0010,0.0020,0.0078
293,0.0072,0.0019,0.0020,0.0078
294,0.0069,0.0029,0.0020,0.0078
295,0.0065,0.0038,0.0020,0.0078
296,0.0060,0.0046,0.0020,0.0078
297,0.0053,0.0053,0.0020,0.0078
298,0.0046,0.0060,0.0020,0.0078
299,0.0038,0.0065,0.0020,0.0078
300,0.0029,0.0069,0.0020,0.0078
301,0.0019,0.0072,0.0020,0.0078
302,0.0010,0.0074,0.0020,0.0078
303,0.0000,0.0075,0.0020,0.0078
304,-0.0010,0.0074,0.0020,0.0078
305,-0.0019,0.0072,0.0020,0.0078
306,-0.0029,0.0069,0.0020,0.0078
307,-0.0038,0.0065,0.0020,0.0078
308,-0.0046,0.0060,0.0020,0.0078
309,-0.0053,0.0053,0.0020,0.0078
310,-0.0060,0.0046,0.0020,0.0078
311,-0.0065,0.0038,0.0020,0.0078
312,-0.0069,0.0029,0.0020,0.0078
313,-0.0072,0.0019,0.0020,0.0078
314,-0.0074,0.0010,0.0020,0.0078
315,-0.0075,0.0000,0.0020,0.0078
316,-0.0074,-0.0010,0.0020,0.0078
317,-0.0072,-0.0019,0.0020,0.0078
318,-0.0069,-0.0029,0.0020,0.0078
319,-0.0065,-0.0038,0.0020,0.0078
320,-0.0060,-0.0046,0.0020,0.0078
321,-0.0053,-0.0053,0.0020,0.0078
322,-0.0046,-0.0060,0.0020,0.0078
323,-0.0038,-0.0065,0.0020,0.0078
324,-0.0029,-0.0069,0.0020,0.0078
325,-0.0019,-0.0072,0.0020,0.0078
326,-0.0010,-0.0074,0.0020,0.0078
327,0.0000,-0.0075,0.0020,0.0078
328,0.0010,-0.0074,0.0020,0.0078
329,0.0019,-0.0072,0.0020,0.0078
330,0.0029,-0.0069,0.0020,0.0078
331,0.0038,-0.0065,0.0020,0.0078
332,0.0046,-0.0060,0.0020,0.0078
333,0.0053,-0.0053,0.0020,0.0078
334,0.0060,-0.0046,0.0020,0.0078
335,0.0065,-0.0038,0.0020,0.0078
336,0.0069,-0.0029,0.0020,0.0078
337,0.0072,-0.0019,0.0020,0.0078
338,0.0074,-0.0010,0.0020,0.0078
339,0.0075,0.0000,0.0150,0.0168
340,0.0074,0.0010,0.0150,0.0168
341,0.0072,0.0019,0.0150,0.0168
342,0.0069,0.0029,0.0150,0.0168
343,0.0065,0.0038,0.0150,0.0168
344,0.0060,0.0046,0.0150,0.0168
345,0.0053,0.0053,0.0150,0.0168
346,0.0046,0.0060,0.0150,0.0168
347,0.0038,0.0065,0.0150,0.0168
348,0.0029,0.0069,0.0150,0.0168
349,0.0019,0.0072,0.0150,0.0168
350,0.0010,0.0074,0.0150,0.0168
351,0.0000,0.0075,0.0150,0.0168
352,-0.0010,0.0074,0.0150,0.0168
353,-0.0019,0.0072,0.0150,0.0168
354,-0.0029,0.0069,0.0150,0.0168
355,-0.0038,0.0065,0.0150,0.0168
356,-0.0046,0.0060,0.0150,0.0168
357,-0.0053,0.0053,0.0150,0.0168
358,-0.0060,0.0046,0.0150,0.0168
359,-0.0065,0.0038,0.0150,0.0168
360,-0.0069,0.0029,0.0150,0.0168
361,-0.0072,0.0019,0.0150,0.0168
362,-0.0074,0.0010,0.0150,0.0168
363,-0.0075,0.0000,0.0150,0.0168
364,-0.0074,-0.0010,0.0150,0.0168
365,-0.0072,-0.0019,0.0150,0.0168
366,-0.0069,-0.0029,0.0150,0.0168
367,-0.0065,-0.0038,0.0150,0.0168
368,-0.0060,-0.0046,0.0150,0.0168
369,-0.0053,-0.0053,0.0150,0.0168
370,-0.0046,-0.0060,0.0150,0.0168
371,-0.0038,-0.0065,0.0150,0.0168
372,-0.0029,-0.0069,0.0150,0.0168
373,-0.0019,-0.0072,0.0150,0.0168
374,-0.0010,-0.0074,0.0150,0.0168
375,0.0000,-0.0075,0.0150,0.0168
376,0.0010,-0.0074,0.0150,0.0168
377,0.0019,-0.0072,0.0150,0.0168
378,0.0029,-0.0069,0.0150,0.0168
379,0.0038,-0.0065,0.0150,0.0168
380,0.0046,-0.0060,0.0150,0.0168
381,0.0053,-0.0053,0.0150,0.0168
382,0.0060,-0.0046,0.0150,0.0168
383,0.0065,-0.0038,0.0150,0.0168
384,0.0069,-0.0029,0.0150,0.0168
385,0.0072,-0.0019,0.0150,0.0168
386,0.0074,-0.0010,0.0150,0.0168
387,0.0120,0.0208,0.0000,0.0240
388,0.0120,-0.0208,0.0000,0.0240
389,0.0111,0.0213,0.0000,0.0240
390,0.0102,0.0217,0.0000,0.0240
391,0.0093,0.0221,0.0000,0.0240
392,0.0084,0.0225,0.0000,0.0240
393,0.0075,0.0228,0.0000,0.0240
394,0.0065,0.0231,0.0000,0.0240
395,0.0056,0.0234,0.0000,0.0240
396,0.0046,0.0236,0.0000,0.0240
397,0.0036,0.0237,0.0000,0.0240
398,0.0026,0.0239,0.0000,0.0240
399,0.0016,0.0239,0.0000,0.0240
400,0.0007,0.0240,0.0000,0.0240
401,-0.0004,0.0240,0.0000,0.0240
402,-0.0014,0.0240,0.0000,0.0240
403,-0.0024,0.0239,0.0000,0.0240
404,-0.0034,0.0238,0.0000,0.0240
405,-0.0043,0.0236,0.0000,0.0240
406,-0.0053,0.0234,0.0000,0.0240
407,-0.0063,0.0232,0.0000,0.0240
408,-0.0072,0.0229,0.0000,0.0240
409,-0.0082,0.0226,0.0000,0.0240
410,-0.0091,0.0222,0.0000,0.0240
411,-0.0100,0.0218,0.0000,0.0240
412,-0.0109,0.0214,0.0000,0.0240
413,-0.0118,0.0209,0.0000,0.0240
414,-0.0126,0.0204,0.0000,0.0240
415,-0.0135,0.0199,0.0000,0.0240
416,-0.0143,0.0193,0.0000,0.0240
417,-0.0151,0.0187,0.0000,0.0240
418,-0.0158,0.0180,0.0000,0.0240
419,-0.0166,0.0174,0.0000,0.0240
420,-0.0173,0.0167,0.0000,0.0240
421,-0.0180,0.0159,0.0000,0.0240
422,-0.0186,0.0152,0.0000,0.0240
423,-0.0192,0.0144,0.0000,0.0240
424,-0.0198,0.0136,0.0000,0.0240
425,-0.0203,0.0128,0.0000,0.0240
426,-0.0209,0.0119,0.0000,0.0240
427,-0.0213,0.0110,0.0000,0.0240
428,-0.0218,0.0101,0.0000,0.0240
429,-0.0222,0.0092,0.0000,0.0240
430,-0.0225,0.0083,0.0000,0.0240
431,-0.0229,0.0074,0.0000,0.0240
432,-0.0231,0.0064,0.0000,0.0240
433,-0.0234,0.0054,0.0000,0.0240
434,-0.0236,0.0045,0.0000,0.0240
435,-0.0238,0.0035,0.0000,0.0240
436,-0.0239,0.0026,0.0000,0.0240
437,-0.0240,0.0015,0.0000,0.0240
438,-0.0240,0.0005,0.0000,0.0240
439,-0.0240,-0.0005,0.0000,0.0240
440,-0.0240,-0.0015,0.0000,0.0240
441,-0.0239,-0.0025,0.0000,0.0240
442,-0.0238,-0.0035,0.0000,0.0240
443,-0.0236,-0.0045,0.0000,0.0240
444,-0.0234,-0.0054,0.0000,0.0240
445,-0.0231,-0.0064,0.0000,0.0240
446,-0.0229,-0.0074,0.0000,0.0240
447,-0.0225,-0.0083,0.0000,0.0240
448,-0.0222,-0.0092,0.0000,0.0240
449,-0.0218,-0.0101,0.0000,0.0240
450,-0.0213,-0.0110,0.0000,0.0240
451,-0.0209,-0.0119,0.0000,0.0240
452,-0.0203,-0.0128,0.0000,0.0240
453,-0.0198,-0.0136,0.0000,0.0240
454,-0.0192,-0.0144,0.0000,0.0240
455,-0.0186,-0.0152,0.0000,0.0240
456,-0.0180,-0.0159,0.0000,0.0240
457,-0.0173,-0.0167,0.0000,0.0240
458,-0.0166,-0.0174,0.0000,0.0240
459,-0.0158,-0.0180,0.0000,0.0240
460,-0.0151,-0.0187,0.0000,0.0240
461,-0.0143,-0.0193,0.0000,0.0240
462,-0.0135,-0.0199,0.0000,0.0240
463,-0.0126,-0.0204,0.0000,0.0240
464,-0.0118,-0.0209,0.0000,0.0240
465,-0.0109,-0.0214,0.0000,0.0240
466,-0.0100,-0.0218,0.0000,0.0240
467,-0.0091,-0.0222,0.0000,0.0240
468,-0.0082,-0.0226,0.0000,0.0240
469,-0.0072,-0.0229,0.0000,0.0240
470,-0.0063,-0.0232,0.0000,0.0240
471,-0.0053,-0.0234,0.0000,0.0240
472,-0.0043,-0.0236,0.0000,0.0240
473,-0.0034,-0.0238,0.0000,0.0240
474,-0.0024,-0.0239,0.0000,0.0240
475,-0.0014,-0.0240,0.0000,0.0240
476,-0.0004,-0.0240,0.0000,0.0240
477,0.0006,-0.0240,0.0000,0.0240
478,0.0016,-0.0240,0.0000,0.0240
479,0.0026,-0.0239,0.0000,0.0240
480,0.0036,-0.0237,0.0000,0.0240
481,0.0046,-0.0236,0.0000,0.0240
482,0.0056,-0.0234,0.0000,0.0240
483,0.0065,-0.0231,0.0000,0.0240
484,0.0075,-0.0228,0.0000,0.0240
485,0.0084,-0.0225,0.0000,0.0240
486,0.0093,-0.0221,0.0000,0.0240
487,0.0102,-0.0217,0.0000,0.0240
488,0.0111,-0.0213,0.0000,0.0240
489,0.0270,-0.0121,0.0000,0.0296
490,0.0128,-0.0203,0.0000,0.0240
491,0.0137,-0.0198,0.0000,0.0241
492,0.0144,-0.0194,0.0000,0.0242
493,0.0153,-0.0189,0.0000,0.0243
494,0.0162,-0.0184,0.0000,0.0245
495,0.0170,-0.0179,0.0000,0.0247
496,0.0187,-0.0169,0.0000,0.0252
497,0.0194,-0.0165,0.0000,0.0255
498,0.0203,-0.0160,0.0000,0.0259
499,0.0212,-0.0155,0.0000,0.0262
500,0.0220,-0.0150,0.0000,0.0266
501,0.0228,-0.0145,0.0000,0.0271
502,0.0237,-0.0141,0.0000,0.0275
503,0.0245,-0.0136,0.0000,0.0280
504,0.0253,-0.0131,0.0000,0.0285
505,0.0262,-0.0126,0.0000,0.0290
506,0.0270,0.0121,0.0000,0.0296
507,0.0278,-0.0116,0.0000,0.0302
508,0.0286,-0.0110,0.0000,0.0307
509,0.0294,-0.0104,0.0000,0.0312
510,0.0301,-0.0097,0.0000,0.0316
511,0.0307,-0.0090,0.0000,0.0320
512,0.0313,-0.0082,0.0000,0.0324
513,0.0319,-0.0074,0.0000,0.0327
514,0.0324,-0.0066,0.0000,0.0330
515,0.0328,-0.0057,0.0000,0.0333
516,0.0332,-0.0048,0.0000,0.0335
517,0.0335,-0.0039,0.0000,0.0337
518,0.0337,-0.0029,0.0000,0.0338
519,0.0339,-0.0020,0.0000,0.0339
520,0.0340,-0.0010,0.0000,0.0340
521,0.0340,0.0000,0.0000,0.0340
522,0.0340,0.0010,0.0000,0.0340
523,0.0339,0.0020,0.0000,0.0339
524,0.0337,0.0029,0.0000,0.0338
525,0.0335,0.0039,0.0000,0.0337
526,0.0332,0.0048,0.0000,0.0335
527,0.0328,0.0057,0.0000,0.0333
528,0.0324,0.0066,0.0000,0.0330
529,0.0319,0.0074,0.0000,0.0327
530,0.0313,0.0082,0.0000,0.0324
531,0.0307,0.0090,0.0000,0.0320
532,0.0301,0.0097,0.0000,0.0316
533,0.0294,0.0104,0.0000,0.0312
534,0.0286,0.0110,0.0000,0.0307
535,0.0278,0.0116,0.0000,0.0302
536,0.0262,0.0126,0.0000,0.0290
537,0.0253,0.0131,0.0000,0.0285
538,0.0245,0.0136,0.0000,0.0280
539,0.0237,0.0141,0.0000,0.0275
540,0.0228,0.0145,0.0000,0.0271
541,0.0220,0.0150,0.0000,0.0266
542,0.0212,0.0155,0.0000,0.0262
543,0.0204,0.0159,0.0000,0.0259
544,0.0195,0.0165,0.0000,0.0255
545,0.0187,0.0169,0.0000,0.0252
546,0.0178,0.0175,0.0000,0.0249
547,0.0170,0.0179,0.0000,0.0247
548,0.0153,0.0189,0.0000,0.0243
549,0.0145,0.0193,0.0000,0.0242
550,0.0137,0.0198,0.0000,0.0241
551,0.0128,0.0203,0.0000,0.0240
552,0.0095,0.0000,0.0000,0.0095
553,0.0095,-0.0010,0.0000,0.0095
554,0.0093,-0.0020,0.0000,0.0095
555,0.0090,-0.0029,0.0000,0.0095
556,0.0087,-0.0039,0.0000,0.0095
557,0.0082,-0.0048,0.0000,0.0095
558,0.0077,-0.0056,0.0000,0.0095
559,0.0071,-0.0064,0.0000,0.0095
560,0.0064,-0.0071,0.0000,0.0095
561,0.0056,-0.0077,0.0000,0.0095
562,0.0048,-0.0082,0.0000,0.0095
563,0.0039,-0.0087,0.0000,0.0095
564,0.0029,-0.0090,0.0000,0.0095
565,0.0020,-0.0093,0.0000,0.0095
566,0.0010,-0.0095,0.0000,0.0095
567,0.0000,-0.0095,0.0000,0.0095
568,-0.0010,-0.0095,0.0000,0.0095
569,-0.0020,-0.0093,0.0000,0.0095
570,-0.0029,-0.0090,0.0000,0.0095
571,-0.0039,-0.0087,0.0000,0.0095
572,-0.0048,-0.0082,0.0000,0.0095
573,-0.0056,-0.0077,0.0000,0.0095
574,-0.0064,-0.0071,0.0000,0.0095
575,-0.0071,-0.0064,0.0000,0.0095
576,-0.0077,-0.0056,0.0000,0.0095
577,-0.0082,-0.0048,0.0000,0.0095
578,-0.0087,-0.0039,0.0000,0.0095
579,-0.0090,-0.0029,0.0000,0.0095
580,-0.0093,-0.0020,0.0000,0.0095
581,-0.0095,-0.0010,0.0000,0.0095
582,-0.0095,0.0000,0.0000,0.0095
583,-0.0095,0.0010,0.0000,0.0095
584,-0.0093,0.0020,0.0000,0.0095
585,-0.0090,0.0029,0.0000,0.0095
586,-0.0087,0.0039,0.0000,0.0095
587,-0.0082,0.0048,0.0000,0.0095
588,-0.0077,0.0056,0.0000,0.0095
589,-0.0071,0.0064,0.0000,0.0095
590,-0.0064,0.0071,0.0000,0.0095
591,-0.0056,0.0077,0.0000,0.0095
592,-0.0048,0.0082,0.0000,0.0095
593,-0.0039,0.0087,0.0000,0.0095
594,-0.0029,0.0090,0.0000,0.0095
595,-0.0020,0.0093,0.0000,0.0095
596,-0.0010,0.0095,0.0000,0.0095
597,0.0000,0.0095,0.0000,0.0095
598,0.0010,0.0095,0.0000,0.0095
599,0.0020,0.0093,0.0000,0.0095
600,0.0029,0.0090,0.0000,0.0095
