Node_No,X,Y,Z,Total Deformation
34587,-0.0054,0.0052,-0.0256,0.0267
34588,-0.0047,0.0058,-0.0256,0.0267
34589,-0.0051,0.0055,-0.0259,0.0270
34590,-0.0048,0.0051,-0.0256,0.0266
34591,-0.0049,0.0054,-0.0250,0.0260
34592,-0.0064,-0.0038,-0.0353,0.0361
34593,-0.0060,-0.0045,-0.0354,0.0362
34594,-0.0062,-0.0042,-0.0351,0.0359
34595,-0.0061,-0.0032,-0.0353,0.0360
34596,-0.0055,-0.0043,-0.0357,0.0363
34597,-0.0060,-0.0035,-0.0362,0.0369
34598,-0.0054,-0.0052,-0.0354,0.0361
34599,-0.0047,-0.0058,-0.0354,0.0361
34600,-0.0051,-0.0055,-0.0351,0.0359
34601,-0.0042,-0.0056,-0.0359,0.0366
34602,-0.0049,-0.0050,-0.0357,0.0363
34603,0.0062,0.0042,-0.0259,0.0270
34604,0.0058,0.0048,-0.0260,0.0271
34605,0.0060,0.0045,-0.0262,0.0273
34606,0.0052,0.0045,-0.0255,0.0264
34607,0.0059,0.0038,-0.0254,0.0264
34608,0.0060,0.0040,-0.0260,0.0270
34609,0.0062,-0.0042,-0.0351,0.0359
34610,0.0058,-0.0048,-0.0350,0.0358
34611,0.0060,-0.0045,-0.0348,0.0356
34612,0.0058,-0.0039,-0.0355,0.0362
34613,0.0052,-0.0045,-0.0353,0.0360
34614,-0.0064,-0.0039,-0.0262,0.0272
34615,-0.0057,-0.0049,-0.0263,0.0273
34616,-0.0061,-0.0043,-0.0265,0.0275
34617,-0.0058,-0.0042,-0.0259,0.0269
34618,-0.0064,0.0039,-0.0348,0.0356
34619,-0.0057,0.0049,-0.0347,0.0355
34620,-0.0061,0.0043,-0.0345,0.0353
34621,-0.0059,0.0038,-0.0352,0.0359
34622,-0.0053,0.0044,-0.0351,0.0357
34623,-0.0075,0.0006,-0.0259,0.0270
34624,-0.0074,0.0010,-0.0262,0.0272
34625,-0.0073,0.0016,-0.0260,0.0271
34626,-0.0070,0.0004,-0.0256,0.0265
34627,-0.0068,0.0012,-0.0261,0.0270
34628,-0.0071,0.0012,-0.0253,0.0263
34629,-0.0069,0.0030,-0.0257,0.0268
34630,-0.0071,0.0023,-0.0258,0.0269
34631,-0.0070,0.0027,-0.0260,0.0271
34632,-0.0066,0.0025,-0.0250,0.0260
34633,-0.0067,0.0019,-0.0259,0.0268
34634,-0.0063,0.0030,-0.0257,0.0266
34635,-0.0069,0.0019,-0.0252,0.0262
34636,-0.0075,-0.0006,-0.0351,0.0359
34637,-0.0074,-0.0010,-0.0348,0.0356
34638,-0.0073,-0.0016,-0.0350,0.0358
34639,-0.0067,-0.0018,-0.0351,0.0358
34640,-0.0069,-0.0009,-0.0347,0.0354
34641,-0.0071,-0.0009,-0.0356,0.0363
